sample_id,cruise_number,latitude,longitude,date,Potemp090C,Sal00,T090C,PrDM,sf6_fmolperkg,f12_pmolperkg,Gamma,Delta,ratio
515740,LAT2025146,56.9568,-52.2353, May 04 2025,1.5106,34.8871,1.7915,3560.173,2.096900151,2.224776618,37.45,0.68,0.02
515741,LAT2025146,56.9568,-52.2353, May 04 2025,1.5161,34.8872,1.7909,3501.78,2.0003492,2.232374652,37.98,0.66,0.02
515741,LAT2025146,56.9568,-52.2353, May 04 2025,1.5161,34.8872,1.7909,3501.78,1.937215562,2.161030239,38.31,0.65,0.02
515742,LAT2025146,56.9568,-52.2353, May 04 2025,1.7078,34.891,1.9761,3395.08,1.970845385,2.120358035,38.13,0.66,0.02
515743,LAT2025146,56.9568,-52.2353, May 04 2025,1.9586,34.9,2.2229,3300.106,3.029336429,2.276286618,32.41,0.71,0.02
515744,LAT2025146,56.9568,-52.2353, May 04 2025,2.1767,34.9081,2.4356,3199.772,1.416088785,1.655852524,41.31,0.50,0.01
515745,LAT2025146,56.9568,-52.2353, May 04 2025,2.4293,34.9169,2.6761,3030.162,1.200382695,1.702416389,43.17,0.50,0.01
515746,LAT2025146,56.9568,-52.2353, May 04 2025,2.7161,34.9203,2.9397,2749.771,1.261608781,1.689710776,42.60,0.50,0.01
515747,LAT2025146,56.9568,-52.2353, May 04 2025,2.9785,34.9228,3.1785,2469.083,1.133573019,1.722071913,43.83,0.50,0.01
515748,LAT2025146,56.9568,-52.2353, May 04 2025,3.1672,34.9204,3.3487,2249.682,1.281639367,1.801803579,42.42,0.50,0.01
515749,LAT2025146,56.9568,-52.2353, May 04 2025,3.32,34.9141,3.4806,2009.399,1.36258343,1.87475807,41.74,0.50,0.01
515750,LAT2025146,56.9568,-52.2353, May 04 2025,3.3491,34.8935,3.4876,1771.579,1.756447704,1.985355266,39.24,0.59,0.02
515751,LAT2025146,56.9568,-52.2353, May 04 2025,3.353,34.8781,3.4696,1529.263,1.943128831,2.151980565,38.28,0.65,0.02
515752,LAT2025146,56.9568,-52.2353, May 04 2025,3.4255,34.874,3.5216,1286.543,2.276108539,2.298618319,36.46,0.71,0.02
515753,LAT2025146,56.9568,-52.2353, May 04 2025,3.5452,34.8723,3.6243,1070.898,2.297700387,2.227506402,36.34,0.71,0.02
515754,LAT2025146,56.9568,-52.2353, May 04 2025,3.5681,34.8515,3.631,868.737,2.720402386,2.301568039,34.01,0.72,0.02
515755,LAT2025146,56.9568,-52.2353, May 04 2025,3.4726,34.8172,3.5202,680.079,3.060549999,2.386668233,32.25,0.71,0.02
515756,LAT2025146,56.9568,-52.2353, May 04 2025,3.2698,34.7777,3.3039,509.526,3.240894529,2.38579772,31.36,0.71,0.02
515757,LAT2025146,56.9568,-52.2353, May 04 2025,3.2778,34.7704,3.3015,360.974,3.254185514,2.38711557,31.30,0.71,0.02
515758,LAT2025146,56.9568,-52.2353, May 04 2025,3.3844,34.777,3.3988,221.201,3.22016902,2.254451347,31.46,0.71,0.02
515759,LAT2025146,56.9568,-52.2353, May 04 2025,3.512,34.7554,3.5184,97.519,3.526257091,2.365268479,29.89,0.55,0.02
515760,LAT2025146,56.9568,-52.2353, May 04 2025,3.5254,34.7551,3.5287,49.839,3.569156833,2.387983692,29.69,0.56,0.02
515761,LAT2025146,56.9568,-52.2353, May 04 2025,3.5454,34.7538,3.547,24.586,3.552779105,2.375849147,29.77,0.56,0.02
515762,LAT2025146,56.9568,-52.2353, May 04 2025,3.6539,34.7504,3.6541,3.281,3.541163424,2.343173651,29.82,0.55,0.02
